obs_id	RaceAmerican Indian/Alaska Native	RaceAsian	RaceBlack or African American	RacePrefer not to answer	RaceSomething else	RaceWhite	isHispanicYes	isHispanicNA	Relationship_StatusIn a committed relationship but not married	Relationship_StatusMarried	Relationship_StatusPrefer not to answer	Relationship_StatusSingle	Relationship_StatusWidowed	educationBachelor's degree	educationDoctorate degree	educationHigh school graduate or GED	educationLess than a high school diploma	educationMaster's degree	educationSome college credit, no degree	educationTrade/technical/vocational training	employmentPart-time employment	employmentRetired	employmentStudent	employmentUnemployed	sexmale	sexNA	genderMale	genderNon-binary	genderPrefer not to answer	genderTrans female	genderTrans male	sexualityGay or lesbian	sexualityHeterosexual	sexualityPrefer not to answer	sexualitySomething else	age	BodyBmi	BodyFat	BodyWeight	CaloriesBMR	FoodCaloriesIn	HeartRateIntradayCount	HeartRateZoneOutOfRangeCaloriesOut	HeartRateZoneOutOfRangeMax	HeartRateZoneOutOfRangeMinutes	HeartRateZoneFatBurnCaloriesOut	HeartRateZoneFatBurnMax	HeartRateZoneFatBurnMinutes	HeartRateZoneCardioCaloriesOut	HeartRateZoneCardioMax	HeartRateZoneCardioMinutes	HeartRateZonePeakCaloriesOut	HeartRateZonePeakMinutes	TrackerActivityCalories	TrackerCalories	TrackerDistance	TrackerElevation	TrackerMinutesFairlyActive	TrackerMinutesLightlyActive	TrackerMinutesSedentary	TrackerMinutesVeryActive	TrackerSteps	Water	skipped	Efficiency	SleepLevelDeep	SleepLevelLight	SleepLevelRem	SleepLevelWake	MinutesAfterWakeup	MinutesAsleep	MinutesAwake	MinutesToFallAsleep	TimeInBed	times_slept
23	0	0	0	0	0	0	0	0	0	0.00928698947543221	0	0.0127229280507907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000614475227787959	0	0	0	0	-0.0270519177132624	0	0	-0.015583515059392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	-0.0183729532487227	0	-0.00773389872053348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00140747122890242	0	0	0	0	0.0371453624973904	0	0	0.0118742329428039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	-0.0179327531350082	0	-0.00787274765695227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.001416925152034	0	0	0	0	0.0407214919703481	0	0	0.00690460422934638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	-0.016063995054932	0	-0.00773938044277142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000566083888749719	0	0	0	0	-0.0213812968704298	0	0	0.00734958693964431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	-0.0182285218782482	0	-0.00729197038739723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00141348412652672	0	0	0	0	-0.0118394212431462	0	0	-0.00154242242882539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0.0103879860026694	0	0.0157438376434993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0369605948608842	0	0	0.032392282785465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0.00830539043044383	0	-0.00519666072824978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000494449422531061	0	0	0	0	-0.0135632515783792	0	0	-0.0535985068216261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	-0.0128273911277596	0	-0.00751460090814547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00111080938035795	0	0	0	0	-0.0123908381112487	0	0	-0.0210871852084557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0	0	-0.0182210889108766	0	-0.00577215373951993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000575240392029925	0	0	0	0	-0.0135211331129965	0	0	0.00828689625444317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	-0.0155736939198136	0	-0.00565755323386101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00266319497066466	0	0	0	0	-0.0145248925637239	0	0	-0.0140815208404067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
