obs_id	RaceAmerican Indian/Alaska Native	RaceAsian	RaceBlack or African American	RaceNative Hawaiian or Other Pacific Islander	RacePrefer not to answer	RaceSomething else	RaceWhite	isHispanicYes	isHispanicNA	Relationship_StatusIn a committed relationship but not married	Relationship_StatusMarried	Relationship_StatusPrefer not to answer	Relationship_StatusSingle	Relationship_StatusWidowed	educationBachelor's degree	educationDoctorate degree	educationHigh school graduate or GED	educationLess than a high school diploma	educationMaster's degree	educationSome college credit, no degree	educationTrade/technical/vocational training	employmentPart-time employment	employmentRetired	employmentStudent	employmentUnemployed	sexmale	sexNA	genderMale	genderNon-binary	genderPrefer not to answer	genderTrans female	genderTrans male	sexualityGay or lesbian	sexualityHeterosexual	sexualityPrefer not to answer	sexualitySomething else	age	BodyBmi	BodyFat	BodyWeight	CaloriesBMR	FoodCaloriesIn	HeartRateIntradayCount	HeartRateZoneOutOfRangeCaloriesOut	HeartRateZoneOutOfRangeMax	HeartRateZoneOutOfRangeMinutes	HeartRateZoneFatBurnCaloriesOut	HeartRateZoneFatBurnMax	HeartRateZoneFatBurnMinutes	HeartRateZoneCardioCaloriesOut	HeartRateZoneCardioMax	HeartRateZoneCardioMinutes	HeartRateZonePeakCaloriesOut	HeartRateZonePeakMinutes	TrackerActivityCalories	TrackerCalories	TrackerDistance	TrackerElevation	TrackerMinutesFairlyActive	TrackerMinutesLightlyActive	TrackerMinutesSedentary	TrackerMinutesVeryActive	TrackerSteps	Water	skipped	Efficiency	SleepLevelDeep	SleepLevelLight	SleepLevelRem	SleepLevelWake	MinutesAfterWakeup	MinutesAsleep	MinutesAwake	MinutesToFallAsleep	TimeInBed	times_slept
858	0.00776383349130968	0	-0.0161592342678824	0	0	0	0	0	0.0120621895465881	-0.256332567177592	-0.119986549625839	0	-0.0138203496269622	0	-0.0821438175809533	0.0153208157543166	0	-0.0147676347147505	0	-0.0559916404140379	-0.010870136704558	0.0354351545496944	0.0542990075521005	-0.236758845280184	0	0	0	-0.0120640314336348	0	0.0187552086717974	0	0	0	0	0	0.00173033961630501	0	0.128523617872062	-0.014447586323716	0	-0.0353160860791864	0.0199383590487013	0.0498003884865252	0	-0.0893566486071012	0	0.296504859562387	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0352732558459612	0	-0.0461904588697643	0.00993880403956504	0	-0.272053602828664	0	0.0758130786060037	0	0.0105256035291681	0	0	0	0.0194767941607532	0	0
859	0.0155276669826194	0	-0.020199042834853	0	0	0	0	0	0	-0.250229410816221	-0.0857046783041706	0	-0.012092805923592	0	0.0273812725269844	0.0459624472629496	0	-0.029535269429501	0	-0.0559916404140379	-0.076090956931906	-0.207548762362496	0.0271495037760502	0.0288730299122176	0	0	0	-0.00754001964602174	0	0	0	0.0264516289014328	0	0	0	0.000865169808152507	0	0.165488469269004	0.155377992652847	0	0.127947786660326	0.010924321680525	0.0938497165525515	0	-0.304217454389445	0	0.15630142510974	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00811371210597388	0	-0.0438814546844536	0.00139703809553516	0	-0.216089835175641	0	0.0254003536424382	0	0.00811493427329535	0	0	0	0.0629290225284151	0	0
860	0.00776383349130969	0	-0.0161592342678824	0	0	0	0	0	0	-0.225816785370736	-0.119986549625839	0	-0.012092805923592	0	-0.0800375658481084	0.0612832630172662	0	0	0	-0.0712620877996846	-0.0217402734091161	0.0253108246783531	0	0.0230984239297741	0	0	0	-0.0105560275044304	0	0	0	0	0	0	0	0.00173033961630501	0	0.115532339348059	-0.0276357498686905	0	-0.161252745434274	0.0196850467199108	0.0581144982191837	0	-0.469059715535386	0	0.120285138981716	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0364626155479549	0	-0.0962852727602045	0.00281301247202386	0	-0.367698521507797	0	0.25095478750579	0	0.0369732196011906	0	0	0	0.0176489719395133	0	0
861	0.00776383349130968	0	-0.0242388514018236	0	0	0	0	0	0	-0.244126254454849	-0.119986549625839	0	-0.0146841214786474	0	0.0337000277255193	0.0919248945258993	0	0	0	-0.0712620877996846	-0.021740273409116	0.08099463897073	0	0.0461968478595482	0	0	0	-0.00904802357522614	0	0	0	0	0	0	0	0	0	0.127796166241618	-0.0231512946093278	0	-0.184674645439033	-0.0135317019888159	-0.0687824847545655	0	0.506468195200085	0	-0.178978780687501	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0399725341827262	0	0.197009617007179	-0.000901267703535722	0	0.189697206604423	0	-0.0866568745853522	0	0.0186876877033518	0	0	0	0.0109442936350817	0	0
862	0.00776383349130969	0	-0.0242388514018236	0	0	0	0	0	0	-0.231919941732107	-0.125700194846117	-0.0349757562607026	-0.0155478933303325	0	-0.0758250623824184	0.0612832630172662	0	-0.0147676347147505	0	-0.050901491285489	0	0.0556838142923768	0.0135747518880251	0.0461968478595482	0	0	0	-0.0105560275044305	0	0	0	0.0132258144507164	0	0	0	0.00259550942445753	0	-0.239026835185225	-0.0322235485027331	0	0.213816777974237	0.00597220931152707	0.0241067685578403	0	0.0933873657394957	0	-0.1518189142814	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0158290689292711	0	0.315208185639175	0.00185591475818956	0	-0.32170209025723	0	0.154243116059641	0	-0.00695406305939583	0	0	0	0.0100422017756191	0	0
863	0.00776383349130968	0	-0.0121194257009118	0	0	0	0	0	0	0.0610315636137124	0.165695711388063	0	-0.0138203496269622	0	0.0294875242598294	0.0766040787715827	0	-0.0147676347147505	0	-0.0712620877996846	-0.010870136704558	0.0506216493567062	0.0271495037760502	0.0404222418771047	0	0	0	-0.0105560275044304	0	0	0	0	0	0	0	0.00432584904076256	0	-0.0584025110339157	-0.0337842641269734	0	0.0725846048822091	-0.0591101270385719	-0.040815157697963	0	-0.564488713418344	0	0.655857068067235	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0484495402739656	0	0.00691867982972511	-0.0156329695119273	0	0.206103358185933	0	-0.168358899819166	0	-0.0234984883054979	0	0	0	0.00313759501146903	0	0
864	0	0	-0.0161592342678824	0	0	0	0	0	0	0.103753658143311	0.211404873150287	-0.0349757562607026	-0.0129565777752771	0	0.0273812725269845	0.0306416315086331	0	-0.029535269429501	0	0.178155219499211	-0.043480546818232	0.0253108246783531	0.0407242556640753	0.0173238179473306	0	0	0	-0.00754001964602178	0	0.0187552086717974	0	0	0	0	0	0.005191018848915	0	0.00185920597826485	-0.0213283193329789	0	-0.0187512068095512	0.00307763110091129	0.0792887603234939	0	-0.270346936756792	0	0.325996569831255	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0496805193924697	0	-0.294446447867109	0.00205900609238176	0	-0.112896893420495	0	0.0602802046535415	0	0.00200252015668466	0	0	0	0.020065426162056	0	0
865	0	0	0.181791385513677	0	0	0	0	0	0	0.0854441890591973	0.177123001828619	0	-0.00950149036853656	0	0.0189562655956047	0.0306416315086331	0	0	0	-0.0254507456427445	0	0.0556838142923768	0	0.0288730299122176	0	0	0	-0.0135720353628391	0	0	0	0	0	0	0	0	0	-0.260939078968523	-0.0116571607284244	0	0.0740708963637318	0.00589768955874919	-0.129434904408916	0	0.531246115751164	0	-0.211127788904126	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0695976855051257	0	0.387053682888153	0.00158878237626646	0	0.565956088987966	0	-0.181661133724524	0	-0.0173412210236491	0	0	0	-0.20238728250817	0	0
866	0.0155276669826194	0	-0.0161592342678824	0	0	0	0	0	0.0241243790931763	0.0976505017819397	-0.0742773878636145	0	0.0276406992539245	0	0.0231687690612945	0.0919248945258993	0	0	0	-0.0661719386711356	-0.032610410113674	0.0303729896140237	0.0271495037760502	-0.242533451262628	0	0	-0.00378317753280472	-0.0113100294690327	0	0	0	0	0	0	0	-0.0389326413668628	0	0.164758020787918	-0.0183443595258501	0	-0.0102062170612833	0.00718223671303296	0.588880164297633	0	0.228649240743976	0	-0.043727513549938	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0762733039984994	0	-1.12310559801723	0.00730466418407429	0	-0.262205720003327	0	0.106315295658032	0	0.0352370326230616	0	0	0	0.0153590336448524	0	0
867	0.0155276669826193	0	-0.0242388514018236	0	0.0178576312844693	0	0	0	0	0.0732378763364548	-0.0799910330838926	-0.0349757562607026	-0.0138203496269622	0	0.0337000277255193	0.0459624472629496	0	0	0	0.18324536862776	-0.021740273409116	0.0354351545496943	0.0271495037760502	0.0404222418771047	0	0	0	-0.0120640314336348	0	0	0	0	0	0	0	0	0	-0.0464918999907999	-0.0231607553041891	0	-0.141064407941037	0.00430805797547068	0.102607878962013	0	0.324547509871513	0	-0.138664335003464	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113328121072885	0	-1.22241173574687	0.00155492177017974	0	-0.0649816322622642	0	-0.0802533421976774	0	-0.00220964313786092	0	0	0	0.0268082692049031	0	0
